thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
62,0,62,up,1,0.713032600004226,None,0,62,0,62,0,112.7643817999633,,112.74893589998828,112.7643817999633,113.76448119996348,113.76448119996348,114.48131639999337,up,1,0.713032600004226,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
63,0,63,down,1,0.671732000017073,None,-5,63,0,63,0,114.49767319997773,,114.48168379999697,114.49767319997773,115.48103099997388,115.49771169997985,116.16439220000757,down,1,0.671732000017073,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
64,0,64,up,0,1.0171868999605067,None,-2,64,0,64,0,116.18078130000504,,116.16458189999685,116.18078130000504,117.16397160000633,117.18088210001588,118.19805110001471,up,0,1.0171868999605067,None,-2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
65,0,65,up,1,0.6704655000357889,None,0,65,0,65,0,118.21415429998888,,118.19842580001568,118.21415429998888,119.1971134999767,119.21374300000025,119.88062080001691,up,1,0.6704655000357889,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
66,0,66,up,1,0.6028840999933891,None,0,66,0,66,0,119.89715299999807,,119.88078940002015,119.89715299999807,120.88017169997329,120.89687960001174,121.49734010000248,up,1,0.6028840999933891,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
67,0,67,down,1,1.2967775000142865,None,2,67,0,67,0,121.51391370000783,,121.49760890001198,121.51391370000783,122.49720350001007,122.51363619999029,123.7976631000056,down,1,1.2967775000142865,None,2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
68,0,68,up,1,0.547587199951522,None,0,68,0,68,0,123.81374459998915,,123.79796120000537,123.81374459998915,124.8135291999788,124.8135291999788,125.36354759999085,up,1,0.547587199951522,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
69,0,69,down,1,1.9063601000234485,None,-2,69,0,69,0,125.37998420000076,,125.36371359997429,125.37998420000076,126.36327289999463,126.37983140000142,128.27999199996702,down,1,1.9063601000234485,None,-2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
70,0,70,down,1,0.6021596000064164,None,-3,70,0,70,0,128.29649099998642,,128.2802841999801,128.29649099998642,129.27975679998053,129.2964711000095,129.896742300014,down,1,0.6021596000064164,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
71,0,71,up,1,0.6794122999999672,None,0,71,0,71,0,129.91309139999794,,129.8969410000136,129.91309139999794,130.89637430000585,130.91312919999473,131.57990199996857,up,1,0.6794122999999672,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
72,0,72,down,1,0.767947299988009,None,-4,72,0,72,0,131.5962972000125,,131.5801534000202,131.5962972000125,132.57962259999476,132.59631100000115,133.36389009997947,down,1,0.767947299988009,None,-4,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
73,0,73,down,0,0.7571152999880724,None,0,73,0,73,0,133.38000419997843,,133.36425719998078,133.38000419997843,134.36333309998736,134.38003679999383,135.1301255999715,down,0,0.7571152999880724,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
74,0,74,down,0,0.8756294000195339,None,0,74,0,74,0,135.14644310000585,,135.13035930000478,135.14644310000585,136.1299621000071,136.14632699999493,137.0137520999997,down,0,0.8756294000195339,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
75,0,75,up,1,1.1490310999797657,None,0,75,0,75,0,137.02974169998197,,137.0140972000081,137.02974169998197,138.01322129997425,138.029910799989,139.16373299999395,up,1,1.1490310999797657,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
76,0,76,up,1,0.4524085999582894,None,0,76,0,76,0,139.17979209998157,,139.1641884999699,139.17979209998157,140.16310770000564,140.17966409999644,140.62985979998484,up,1,0.4524085999582894,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
77,0,77,down,1,2.1253063999465667,None,-2,77,0,77,0,140.64617889997317,,140.63014179997845,140.64617889997317,141.62947679997887,141.64638019999256,143.76335680001648,down,1,2.1253063999465667,None,-2,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
78,0,78,down,1,0.5518369000055827,None,-3,78,0,78,0,143.77926179999486,,143.7638283999986,143.77926179999486,144.76289399998495,144.77927709999494,145.32935750001343,down,1,0.5518369000055827,None,-3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
79,0,79,down,1,0.6192862000316381,None,-5,79,0,79,0,145.34575629996834,,145.32954289996997,145.34575629996834,146.32946989999618,146.34599850000814,146.96289590001106,down,1,0.6192862000316381,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
80,0,80,up,1,0.7268890999839641,None,0,80,0,80,0,146.97911830001976,,146.9631248000078,146.97911830001976,147.96252110000933,147.9790987999877,148.696005899983,up,1,0.7268890999839641,None,0,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
81,0,81,down,1,0.7326200000243261,None,-5,81,0,81,0,148.71248250000644,,148.69623960001627,148.71248250000644,149.69560709997313,149.71236170001794,150.42963329999475,down,1,0.7326200000243261,None,-5,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
82,0,82,down,1,1.3133815999608487,None,3,82,0,82,0,150.44578840001486,,150.43006089999108,150.44578840001486,151.42896429996472,151.44570340000791,152.74585770000704,down,1,1.3133815999608487,None,3,1,001,2025-09-10_10h24.06.634,signal_detection,,2025.1.1,59.884327416833855,2025-09-10 10h24.12.109122 +0530,
